Comment,Designator,Footprint,LCSC Part Number
0.1u,"C1,C2,C3",Capacitor_SMD:C_0805_2012Metric,C49678
10u,C4,Capacitor_SMD:C_0805_2012Metric,C15850
22p,"C5,C7",Capacitor_SMD:C_0805_2012Metric,C1804
1u,C6,Capacitor_SMD:C_0805_2012Metric,C28323
D,"D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63",Diode_SMD:D_SOD-123,C81598
500mA,F1,Fuse:Fuse_1206_3216Metric,C70076
JST SH 4-pin,J1,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
AVR-ISP-6,J2,random-keyboard-parts:Reset_Pretty,
KEYSW,"K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_16,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_57,K_68,K_72",MX_Only:MXOnly-1U-NoLED,
KEYSW,K_15,MX_Only:MXOnly-2U-NoLED,
KEYSW,"K_17,K_30,K_64,K_66,K_67,K_69",MX_Only:MXOnly-1.5U-NoLED,
KEYSW,"K_32,K_59,K_60,K_61,K_63,K_65,K_71,K_73",MX_Only:MXOnly-1.25U-NoLED,
KEYSW,"K_44,K_45",MX_Only:MXOnly-2.25U-NoLED,
KEYSW,K_56,MX_Only:MXOnly-2.75U-NoLED,
KEYSW,"K_31,K_58",MX_Only:MXOnly-1.75U-NoLED,
KEYSW,K_62,MX_Only:MXOnly-6.25U-ReversedStabilizers-NoLED,
KEYSW,K_70,MX_Only:MXOnly-7U-ReversedStabilizers-NoLED,
22,"R1,R2",Resistor_SMD:R_0805_2012Metric,C17561
10k,"R3,R4",Resistor_SMD:R_0805_2012Metric,C17414
Reset,SW1,Button_Switch_SMD:SW_SPST_TL3342,C318884
USBLC6-2SC6,U1,Package_TO_SOT_SMD:SOT-23-6,C7519
ATmega32U4-AU,U2,Package_QFP:TQFP-44_10x10mm_P0.8mm,C44854
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
