Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,23.8275,-29.464,180,bottom
C2,0.1u,C_0805_2012Metric,32.639,-47.244,0,bottom
C3,0.1u,C_0805_2012Metric,37.719,-33.8605,270,bottom
C4,10u,C_0805_2012Metric,17.526,-39.243,0,bottom
C5,22p,C_0805_2012Metric,41.021,-35.052,180,bottom
C6,1u,C_0805_2012Metric,28.321,-28.5265,270,bottom
C7,22p,C_0805_2012Metric,41.0695,-40.894,180,bottom
D_1,D,D_SOD-123,18.05,-10.025,90,bottom
D_2,D,D_SOD-123,37.1,-10.025,90,bottom
D_3,D,D_SOD-123,56.15,-10.025,90,bottom
D_4,D,D_SOD-123,75.2,-10.025,90,bottom
D_5,D,D_SOD-123,94.25,-10.025,90,bottom
D_6,D,D_SOD-123,113.3,-10.025,90,bottom
D_7,D,D_SOD-123,132.35,-10.025,90,bottom
D_8,D,D_SOD-123,151.4,-10.025,90,bottom
D_9,D,D_SOD-123,170.45,-10.025,90,bottom
D_10,D,D_SOD-123,189.5,-10.025,90,bottom
D_11,D,D_SOD-123,208.55,-10.025,90,bottom
D_12,D,D_SOD-123,227.6,-10.025,90,bottom
D_13,D,D_SOD-123,229.997,-10.033,90,bottom
D_14,D,D_SOD-123,248.92,-10.033,90,bottom
D_15,D,D_SOD-123,246.253,-10.032,90,bottom
D_16,D,D_SOD-123,6.35,-29.075,90,bottom
D_17,D,D_SOD-123,46.625,-29.075,90,bottom
D_18,D,D_SOD-123,65.675,-29.075,90,bottom
D_19,D,D_SOD-123,84.725,-29.075,90,bottom
D_20,D,D_SOD-123,103.775,-29.075,90,bottom
D_21,D,D_SOD-123,122.825,-29.075,90,bottom
D_22,D,D_SOD-123,141.875,-29.075,90,bottom
D_23,D,D_SOD-123,160.925,-29.075,90,bottom
D_24,D,D_SOD-123,179.975,-29.075,90,bottom
D_25,D,D_SOD-123,199.025,-29.075,90,bottom
D_26,D,D_SOD-123,218.075,-29.075,90,bottom
D_27,D,D_SOD-123,237.125,-29.075,90,bottom
D_28,D,D_SOD-123,256.175,-29.075,90,bottom
D_29,D,D_SOD-123,263.144,-29.075,90,bottom
D_30,D,D_SOD-123,24.892,-48.125,90,bottom
D_31,D,D_SOD-123,51.3875,-48.125,90,bottom
D_32,D,D_SOD-123,70.4375,-48.125,90,bottom
D_33,D,D_SOD-123,89.4875,-48.125,90,bottom
D_34,D,D_SOD-123,108.5375,-48.125,90,bottom
D_35,D,D_SOD-123,127.5875,-48.125,90,bottom
D_36,D,D_SOD-123,146.6375,-48.125,90,bottom
D_37,D,D_SOD-123,165.6875,-48.125,90,bottom
D_38,D,D_SOD-123,184.7375,-48.125,90,bottom
D_39,D,D_SOD-123,203.7875,-48.125,90,bottom
D_40,D,D_SOD-123,222.8375,-48.125,90,bottom
D_41,D,D_SOD-123,241.8875,-48.125,90,bottom
D_42,D,D_SOD-123,255.397,-48.133,90,bottom
D_43,D,D_SOD-123,29.845,-67.056,90,bottom
D_44,D,D_SOD-123,60.9125,-67.175,90,bottom
D_45,D,D_SOD-123,79.9625,-67.175,90,bottom
D_46,D,D_SOD-123,99.0125,-67.175,90,bottom
D_47,D,D_SOD-123,118.0625,-67.175,90,bottom
D_48,D,D_SOD-123,137.1125,-67.175,90,bottom
D_49,D,D_SOD-123,156.1625,-67.175,90,bottom
D_50,D,D_SOD-123,175.2125,-67.175,90,bottom
D_51,D,D_SOD-123,194.2625,-67.175,90,bottom
D_52,D,D_SOD-123,213.3125,-67.175,90,bottom
D_53,D,D_SOD-123,232.3625,-67.175,90,bottom
D_54,D,D_SOD-123,241.427,-67.183,90,bottom
D_55,D,D_SOD-123,267.589,-67.183,90,bottom
D_56,D,D_SOD-123,22.8125,-86.225,90,bottom
D_57,D,D_SOD-123,46.228,-86.233,90,bottom
D_58,D,D_SOD-123,70.4375,-86.225,90,bottom
D_59,D,D_SOD-123,151.384,-86.36,90,bottom
D_60,D,D_SOD-123,210.82,-86.225,90,bottom
D_61,D,D_SOD-123,234.823,-86.233,90,bottom
D_62,D,D_SOD-123,258.445,-86.225,90,bottom
D_63,D,D_SOD-123,263.398,-86.234,90,bottom
F1,500mA,Fuse_1206_3216Metric,24.26,-16.51,0,bottom
J1,JST SH 4-pin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,47.625,-17.907,270,bottom
R1,22,R_0805_2012Metric,32.3365,-19.177,0,bottom
R2,22,R_0805_2012Metric,32.3065,-16.383,0,bottom
R3,10k,R_0805_2012Metric,30.734,-54.991,90,bottom
R4,10k,R_0805_2012Metric,53.213,-34.2115,270,bottom
SW1,Reset,SW_SPST_TL3342,59.055,-35.179,0,bottom
U1,USBLC6-2SC6,SOT-23-6,38.735,-18.034,180,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,29.21,-38.608,270,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,41.105,-38.012,180,bottom
